文件路径,用途,当前宽度,当前高度,状态
page-01-hero/p01-after-original.png,原工程高清航拍，保留备用,4754,3176,现有图片
page-01-hero/p01-after.png,改造后航拍（与改造前同一画框）,1344,650,现有图片
page-01-hero/p01-before.png,改造前航拍（完整画框）,2688,1300,现有图片
page-02-context/p02-context-research.png,城市背景与使用者需求图,1175,761,现有图片
page-02-context/p02-existing-front.png,既有建筑正面,573,183,现有图片
page-02-context/p02-existing-side.png,既有建筑侧面,576,179,现有图片
page-02-context/p02-research-original.png,原工程研究图,1185,786,现有图片
page-03-generation/p03-design-generation.mp4,设计生成视频,,,视频
page-04-spatial-overview/p04-main-section.png,空间序列总剖面,2183,882,现有图片
page-04-spatial-overview/p04-scene-01-thumbnail.png,场景01缩略图（与第5页同场景）,528,375,现有图片
page-04-spatial-overview/p04-scene-02-thumbnail.png,场景02缩略图（与第5页同场景）,528,378,现有图片
page-04-spatial-overview/p04-scene-03-thumbnail.png,场景03缩略图（与第5页同场景）,528,375,现有图片
page-04-spatial-overview/p04-scene-04-thumbnail.png,场景04缩略图（与第5页同场景）,525,375,现有图片
page-04-spatial-overview/p04-scene-05-thumbnail.png,场景05缩略图（与第5页同场景）,612,345,现有图片
page-04-spatial-overview/p04-scene-06-thumbnail.png,场景06缩略图（与第5页同场景）,615,345,现有图片
page-04-spatial-overview/p04-scene-07-thumbnail.png,场景07缩略图（与第5页同场景）,618,348,现有图片
page-04-spatial-overview/p04-scene-08-thumbnail.png,场景08缩略图（与第5页同场景）,615,348,现有图片
page-05-spatial-scenes/p05-scene-01.png,场景01大图,528,375,现有图片
page-05-spatial-scenes/p05-scene-02.png,场景02大图,528,378,现有图片
page-05-spatial-scenes/p05-scene-03.png,场景03大图,528,375,现有图片
page-05-spatial-scenes/p05-scene-04.png,场景04大图,525,375,现有图片
page-05-spatial-scenes/p05-scene-05.png,场景05大图,612,345,现有图片
page-05-spatial-scenes/p05-scene-06.png,场景06大图,615,345,现有图片
page-05-spatial-scenes/p05-scene-07.png,场景07大图,618,348,现有图片
page-05-spatial-scenes/p05-scene-08.png,场景08大图,615,348,现有图片
page-06-exhibition-details/p06-detail-01-polycarbonate-roof.png,1:1正方形构造大样01,542,542,现有图片
page-06-exhibition-details/p06-detail-02-stone-floor.png,1:1正方形构造大样02,549,542,现有图片
page-06-exhibition-details/p06-detail-03-steel-curtain-wall.png,1:1正方形构造大样03,549,542,现有图片
page-06-exhibition-details/p06-location.png,左下位置图,1324,702,现有图片
page-06-exhibition-details/p06-section-perspective-original.png,原工程右侧剖透视，保留备用,1418,1723,现有图片
page-06-exhibition-details/p06-section-perspective.png,右侧剖透视图,652,780,现有图片
page-07-transformation/p07-before-model-01.png,既有模型照片1,620,222,现有图片
page-07-transformation/p07-before-model-02.png,既有模型照片2,620,222,现有图片
page-07-transformation/p07-before-model-original.png,原工程备用图,1279,719,现有图片
page-07-transformation/p07-exploded-axonometric-original.png,原工程备用图,1324,1817,现有图片
page-07-transformation/p07-exploded-axonometric.png,完整拆解轴测图,598,784,现有图片
page-08-model-archive/p08-model-01.png,模型照片1,650,345,现有图片
page-08-model-archive/p08-model-02.png,模型照片2,650,349,现有图片
page-08-model-archive/p08-model-03.png,模型照片3缺失：用同名高清PNG替换,1068,660,灰色占位图
page-08-model-archive/p08-model-04.png,模型照片4缺失：用同名高清PNG替换,1068,660,灰色占位图
page-08-model-archive/p08-model-05.png,模型照片5缺失：用同名高清PNG替换,1068,660,灰色占位图
page-08-model-archive/p08-model-06.png,模型照片6缺失：用同名高清PNG替换,1068,660,灰色占位图
page-08-model-archive/p08-technical-drawings.png,左侧技术图纸,656,694,现有图片
